time,open,high,low,close,MA 1,MA 2
1774983600,4667.46,4685.85,4661.82,4682.99,,
1774987200,4682.99,4687.33,4664.73,4668.78,,
1774994400,4668.78,4696.47,4661.53,4680.59,,
1774998000,4680.59,4699.87,4671.32,4696.06,,
1775001600,4696.06,4722.36,4693.07,4710.47,,
1775005200,4710.47,4723.94,4681,4692.52,,
1775008800,4692.52,4700.47,4677.66,4684.36,,
1775012400,4684.36,4694.2,4679.47,4681.67,,
1775016000,4681.67,4681.81,4666.83,4676.25,,
1775019600,4676.25,4703.57,4674.46,4684.51,,
1775023200,4684.51,4733.06,4682.28,4730.34,,
1775026800,4730.34,4747.69,4709.29,4713.06,,
1775030400,4713.06,4740.41,4710.02,4728.24,,
1775034000,4728.24,4730.13,4712.7,4723.12,,
1775037600,4723.12,4738.78,4715.2,4731.16,,
1775041200,4731.16,4762.96,4727.83,4752.39,,
1775044800,4752.39,4753.73,4724.3,4724.72,,
1775048400,4724.72,4749.59,4716.15,4737.28,,
1775052000,4737.28,4768.89,4723.77,4760.62,,
1775055600,4760.62,4788.08,4758.26,4786.58,,
1775059200,4786.58,4790.82,4774.35,4787.14,,
1775062800,4787.14,4792.95,4773.71,4774.29,,
1775066400,4774.29,4775.18,4741.76,4752.85,,
1775070000,4752.85,4778.35,4750.93,4766.09,,
1775073600,4766.09,4771.16,4753.7,4758.18,,
1775080800,4758.18,4782.64,4753.43,4776.1,,
1775084400,4776.1,4800.5,4773.12,4783.64,,
1775088000,4783.64,4798.48,4774.76,4784.14,,
1775091600,4784.14,4785.49,4648.78,4695.39,,
1775095200,4695.39,4703.88,4655.39,4686.78,,
1775098800,4686.78,4699.27,4675.33,4676.38,,
1775102400,4676.38,4681.7,4656.72,4672.15,,
1775106000,4672.15,4680.42,4585.37,4593.93,,
1775109600,4593.93,4608.72,4553.36,4598.51,,
1775113200,4598.51,4651.29,4596.8,4642.32,,
1775116800,4642.32,4648.54,4616.32,4620.83,,
1775120400,4620.83,4632.01,4612.77,4621.31,,
1775124000,4621.31,4635.02,4603.43,4620.19,,
1775127600,4620.19,4630.65,4592.26,4599.9,,
1775131200,4599.9,4630.04,4594.16,4601.89,,
1775134800,4601.89,4651.37,4580.33,4646.18,,
1775138400,4646.18,4699.63,4631.25,4681.22,,
1775142000,4681.22,4684.06,4652.37,4660.72,,
1775145600,4660.72,4670.69,4642.57,4659.15,,
1775149200,4659.15,4668.46,4645.7,4648.76,,
1775152800,4648.76,4672.14,4647.38,4668.5,,
1775156400,4668.5,4681.84,4661.26,4672.12,,
1775160000,4672.12,4677.66,4664.18,4676.33,,
1775224800,4676.33,4676.33,4672.02,4672.02,,
1775228400,4672.02,4673.62,4671.99,4672.12,,
1775426400,4672.12,4672.12,4607.53,4645.53,,
1775430000,4645.53,4650.96,4604.62,4610.15,,
1775433600,4610.15,4629,4600.14,4622.14,,
1775437200,4622.14,4642.76,4620.27,4625.5,,
1775440800,4625.5,4671.44,4623.37,4647.59,,
1775444400,4647.59,4647.81,4624.99,4640.23,,
1775448000,4640.23,4659.99,4639.51,4658.52,,
1775451600,4658.52,4678.61,4651.21,4652.64,,
1775455200,4652.64,4667.49,4643.14,4665.68,,
1775458800,4665.68,4688.53,4644.52,4684.41,,
1775462400,4684.41,4698.18,4680.17,4695.7,,
1775466000,4695.7,4706.71,4690.53,4693.64,,
1775469600,4693.64,4697.65,4683.69,4689.58,,
1775473200,4689.58,4696.75,4676.94,4677.66,,
1775476800,4677.66,4686.78,4659.64,4676.01,,
1775480400,4676.01,4681.41,4659.42,4679.4,,
1775484000,4679.4,4697.66,4659.72,4682.48,,
1775487600,4682.48,4683.96,4651.58,4667.84,,
1775491200,4667.84,4672.54,4657.68,4660.36,,
