time,open,high,low,close,Upper 2.0 R edge,Lower 2.0 R edge,VWAP,MA 1,MA 2
1780011900,4490.1,4496.53,4488.92,4495.18,4563.2300000000005,4302.18,4493.6385205327415,,
1780012800,4495.18,4498.28,4491.9,4497.49,4563.2300000000005,4302.18,4494.277197487677,,
1780013700,4497.49,4500.53,4495.78,4500.26,4563.2300000000005,4302.18,4494.9755757943285,,
1780014600,4500.26,4500.53,4493.2,4498.22,4563.2300000000005,4302.18,4495.26963740508,,
1780015500,4498.22,4498.33,4493.35,4496.17,4563.2300000000005,4302.18,4495.3395749491965,,
1780016400,4496.17,4515.48,4492.53,4515.04,4563.2300000000005,4302.18,4498.18257166235,,
1780017300,4515.04,4520.83,4504.89,4505.37,4563.2300000000005,4302.18,4499.842268036407,,
1780018200,4505.37,4508.55,4502.46,4506.48,4563.2300000000005,4302.18,4500.518625415628,,
1780019100,4506.48,4507.55,4501.09,4506.26,4563.2300000000005,4302.18,4500.875810230976,,
1780020000,4506.26,4511.14,4504.14,4506.85,4563.2300000000005,4302.18,4501.326441918586,,
1780020900,4506.85,4508.85,4501.82,4502.93,4563.2300000000005,4302.18,4501.456901013893,,
1780021800,4502.93,4507.66,4498.26,4504.96,4563.2300000000005,4302.18,4501.569096977249,,
1780022700,4504.96,4508.12,4501.06,4501.59,,,4501.666371008733,,
1780023600,4501.59,4501.87,4494.83,4496.17,,,4501.416375947709,,
1780024500,4496.17,4499.19,4495.16,4496.75,,,4501.214282442187,,
1780025400,4496.75,4499.05,4494.7,4498.22,,,4501.098776680287,,
1780026300,4498.22,4501.82,4496.46,4501.45,,,4501.063807440582,,
1780027200,4501.45,4505.39,4501.22,4502.18,4577.43,4435.929999999999,4501.114341587046,,
1780028100,4502.18,4511.77,4501.91,4508.98,4577.43,4435.929999999999,4501.339540704808,,
1780029000,4508.98,4510.94,4508.33,4510.45,4577.43,4435.929999999999,4501.56207402395,,
1780029900,4510.45,4515.05,4508.18,4513.94,4577.43,4435.929999999999,4501.7939114203955,,
1780030800,4513.94,4515.54,4508.71,4511.89,4577.43,4435.929999999999,4501.999232660868,,
1780031700,4511.89,4512.18,4509.4,4509.77,4577.43,4435.929999999999,4502.136752007526,,
1780032600,4509.77,4512.65,4502.55,4506.72,4577.43,4435.929999999999,4502.3792094574765,,
1780033500,4506.72,4515.69,4503.9,4515.01,4577.43,4435.929999999999,4502.706349405673,,
1780034400,4515.01,4522.49,4511.13,4515.7,4577.43,4435.929999999999,4503.531760845661,,
1780035300,4515.7,4521.52,4509.85,4516.66,4577.43,4435.929999999999,4504.0749004204035,,
1780036200,4516.66,4520.85,4511.34,4516.54,4577.43,4435.929999999999,4504.498994598425,,
1780037100,4516.54,4524.11,4515.1,4523.62,4577.43,4435.929999999999,4504.974673789558,,
