time,open,high,low,close,MA 1,MA 2
1781240400,29525.030000000002,29536.08,29356.280000000002,29382.58,,
1781244000,29382.58,29455.710000000003,29317.030000000002,29341.780000000002,,
1781247600,29341.780000000002,29440.210000000003,29242.280000000002,29413.530000000002,,
1781251200,29413.530000000002,29548.08,29398.280000000002,29461.280000000002,,
1781254800,29461.280000000002,29649.83,29458.58,29603.280000000002,,
1781258400,29603.280000000002,29638.58,29498.030000000002,29531.030000000002,,
1781262000,29531.030000000002,29640.960000000003,29530.280000000002,29619.460000000003,,
1781265600,29619.460000000003,29627.460000000003,29363.030000000002,29394.030000000002,,
1781269200,29394.030000000002,29480.730000000003,29212.780000000002,29331.530000000002,,
1781272800,29331.530000000002,29625.36,29321.280000000002,29614.480000000003,,
1781276400,29614.480000000003,29741.480000000003,29391.030000000002,29422.230000000003,,
1781280000,29422.230000000003,29660.61,29391.030000000002,29652.86,,
1781283600,29652.86,29733.36,29629.480000000003,29664.61,,
1781287200,29664.61,29700.730000000003,29589.230000000003,29626.730000000003,,
1781290800,29626.730000000003,29693.230000000003,29562.86,29632.230000000003,,
1781294400,29632.230000000003,29712.08,29628.280000000002,29661.91,,
1781474400,29661.91,30081.4,29661.91,30037.9,,
1781478000,30037.9,30057.65,29976.100000000002,30040.850000000002,,
1781481600,30041.1,30158.78,30030.35,30126.1,,
1781485200,30126.1,30171.53,30113.85,30155.6,,
1781488800,30155.6,30198.4,30151.1,30188.85,,
1781492400,30188.85,30205.1,30170.1,30174.6,,
1781496000,30174.6,30219.78,30159.35,30218.4,,
1781499600,30218.4,30231.9,30192.15,30222.53,,
1781503200,30222.53,30244.78,30208.35,30236.85,,
1781506800,30236.85,30256.65,30208.35,30231.85,,
1781510400,30231.85,30311.65,30225.6,30274.35,,
1781514000,30274.35,30287.03,30194.1,30231.85,,
1781517600,30231.85,30254.4,30215.4,30245.53,,
1781521200,30245.53,30306.53,30240.85,30283.6,,
1781524800,30283.6,30301.65,30225.28,30267.4,,
1781528400,30267.4,30483.68,30249.85,30387.85,,
1781532000,30387.85,30478.18,30359.43,30462.55,,
1781535600,30462.55,30574.93,30461.18,30567.05,,
1781539200,30567.05,30599.55,30537.68,30554.43,,
1781542800,30554.43,30576.43,30522.85,30543.18,,
1781546400,30543.18,30576.8,30511.18,30547.55,,
1781550000,30547.55,30562.18,30501.18,30558.93,,
1781553600,30558.93,30575.15,30509.9,30517.1,,
1781560800,30517.1,30550.81,30443.31,30490.06,,
1781564400,30490.06,30528.81,30479.56,30520.31,,
1781568000,30520.31,30539.86,30455.06,30463.31,,
1781571600,30463.31,30489.11,30443.31,30469.31,,
1781575200,30469.31,30490.61,30456.99,30468.31,,
1781578800,30468.31,30540.86,30463.81,30517.06,,
1781582400,30517.06,30522.06,30481.24,30500.56,,
1781586000,30500.56,30531.99,30482.86,30491.81,,
1781589600,30491.81,30523.81,30485.06,30514.11,,
1781593200,30514.11,30534.24,30493.81,30525.74,,
1781596800,30525.74,30628.74,30515.31,30611.06,,
1781600400,30611.06,30616.11,30546.99,30555.11,,
1781604000,30555.11,30617.36,30554.49,30614.81,,
1781607600,30614.81,30654.61,30604.86,30621.56,,
1781611200,30621.56,30634.36,30497.56,30509.36,,
1781614800,30509.36,30570.890000000003,30433.390000000003,30489.890000000003,,
1781618400,30489.890000000003,30538.260000000002,30246.06,30284.140000000003,,
1781622000,30284.140000000003,30347.140000000003,30091.81,30151.390000000003,,
1781625600,30151.390000000003,30258.010000000002,30130.06,30176.640000000003,,
1781629200,30176.640000000003,30196.390000000003,30080.260000000002,30154.010000000002,,
1781632800,30154.010000000002,30173.260000000002,30101.56,30120.140000000003,,
1781636400,30120.140000000003,30157.140000000003,29973.56,29982.390000000003,,
1781640000,29982.390000000003,30002.81,29945.31,29979.81,,
1781647200,29979.81,30064.32,29979.81,30054.57,,
1781650800,30054.57,30056.07,29984.07,30007.32,,
1781654400,30007.32,30080.32,30007.32,30060.82,,
1781658000,30060.82,30127.32,30044.07,30124.32,,
1781661600,30124.32,30139.870000000003,30110.07,30117.82,,
1781665200,30117.82,30147.620000000003,30095.07,30143.82,,
1781668800,30143.82,30164.870000000003,30125.32,30164.57,,
1781672400,30164.57,30205.75,30159.07,30177.57,,
1781676000,30177.57,30223.120000000003,30163.82,30220.82,,
1781679600,30220.82,30256.870000000003,30214.82,30237.370000000003,,
1781683200,30237.370000000003,30261.870000000003,30141.82,30185.32,,
1781686800,30185.32,30200.5,30122,30135.370000000003,,
1781690400,30135.370000000003,30175.32,30095.07,30135.32,,
1781694000,30135.32,30168.32,30065.82,30093.82,,
1781697600,30093.82,30195.120000000003,30092.07,30165.57,,
1781701200,30165.57,30218.27,30023.57,30024.82,,
1781704800,30024.82,30221.9,29965.82,30035.82,,
1781708400,30035.82,30135.52,30024.07,30125.32,,
1781712000,30125.32,30148.9,30074.07,30086.57,,
1781715600,30086.57,30153.82,29998.07,30147.07,,
1781719200,30147.07,30202.57,29756.32,29956.07,,
1781722800,29956.07,30051.32,29605.32,29675.32,,
1781726400,29675.32,29842.57,29672.07,29825.82,,
1781733600,29825.82,29945.850000000002,29782.800000000003,29922.480000000003,,
1781737200,29922.480000000003,30000.230000000003,29912.730000000003,30000.230000000003,,
1781740800,30000.230000000003,30119.230000000003,29993.600000000002,30054.100000000002,,
1781744400,30054.100000000002,30125.980000000003,30050.350000000002,30068.480000000003,,
1781748000,30068.480000000003,30117.730000000003,30060.980000000003,30087.850000000002,,
1781751600,30087.850000000002,30106.230000000003,30057.480000000003,30087.100000000002,,
1781755200,30087.100000000002,30092.350000000002,29970.600000000002,30028.600000000002,,
1781758800,30028.600000000002,30065.100000000002,30010.800000000003,30041.600000000002,,
1781762400,30041.600000000002,30113.100000000002,30009.050000000003,30107.230000000003,,
1781766000,30107.230000000003,30131.980000000003,30069.800000000003,30131.730000000003,,
1781769600,30131.730000000003,30186.350000000002,30074.980000000003,30083.230000000003,,
1781773200,30083.230000000003,30182.480000000003,30074.550000000003,30175.350000000002,,
1781776800,30175.350000000002,30181.480000000003,30108.730000000003,30122.100000000002,,
1781780400,30122.100000000002,30144.850000000002,30042.800000000003,30110.230000000003,,
1781784000,30110.230000000003,30223.730000000003,30083.850000000002,30202.230000000003,,
1781787600,30202.230000000003,30302.38,30078.550000000003,30155.13,,
1781791200,30155.13,30348.13,30136.88,30310.38,,
1781794800,30310.38,30363.13,30183.88,30328.13,,
1781798400,30328.13,30395.25,30316.25,30372.5,,
1781802000,30372.5,30424,30344.38,30395.88,,
1781805600,30395.88,30406.13,30353.75,30378.13,,
1781809200,30378.13,30470.63,30332.75,30381.63,,
1781812800,30381.63,30434.850000000002,30369.850000000002,30413.93,,
1781820000,30413.93,30467.600000000002,30347.600000000002,30359.730000000003,,
1781823600,30359.730000000003,30400.350000000002,30354.300000000003,30388.600000000002,,
1781827200,30388.600000000002,30391.800000000003,30325.350000000002,30339.850000000002,,
1781830800,30339.850000000002,30360.980000000003,30289.480000000003,30292.600000000002,,
1781834400,30292.600000000002,30316.730000000003,30272.350000000002,30290.980000000003,,
1781838000,30290.980000000003,30302.850000000002,30202.600000000002,30215.600000000002,,
1781841600,30215.600000000002,30223.730000000003,30102.800000000003,30130.980000000003,,
1781845200,30130.980000000003,30180.480000000003,30085.800000000003,30178.730000000003,,
1781848800,30178.730000000003,30258.600000000002,30175.730000000003,30251.730000000003,,
